pool	type	individual_id
YS-LYS-3-M	Muscles	YS-LYS-3
YS-LYS-3-P	Skin	YS-LYS-3
YS-LYS-3-S	Spleen	YS-LYS-3
YS-LYXHY-1-B	Brain	YS-LYXHY-1
YS-LYXHY-1-G	Gill	YS-LYXHY-1
YS-LYXHY-1-H	Liver	YS-LYXHY-1
YS-LYXHY-1-I	Intestine	YS-LYXHY-1
YS-LYXHY-1-K	Kidney	YS-LYXHY-1
YS-LYXHY-1-M	Muscles	YS-LYXHY-1
YS-LYXHY-1-P	Skin	YS-LYXHY-1
YS-LYXHY-1-S	Spleen	YS-LYXHY-1
YS-LYXHY-2-B	Brain	YS-LYXHY-2
YS-LYXHY-2-G	Gill	YS-LYXHY-2
