individual_id	organ_code	tissue	lib_index
YS-JZH-3	B	Brain	YS-JZH-3-B
YS-JZH-3	G	Gill	YS-JZH-3-G
YS-JZH-3	H	Liver	YS-JZH-3-H
YS-JZH-3	I	Intestine	YS-JZH-3-I
YS-JZH-3	K	Kidney	YS-JZH-3-K
YS-JZH-3	M	Muscles	YS-JZH-3-M
YS-JZH-3	P	Skin	YS-JZH-3-P
YS-JZH-3	S	Spleen	YS-JZH-3-S
YS-KSCDXGY-1	B	Brain	YS-KSCDXGY-1-B
YS-KSCDXGY-1	G	Gill	YS-KSCDXGY-1-G
YS-KSCDXGY-1	H	Liver	YS-KSCDXGY-1-H
YS-KSCDXGY-1	I	Intestine	YS-KSCDXGY-1-I
YS-KSCDXGY-1	K	Kidney	YS-KSCDXGY-1-K
YS-KSCDXGY-1	M	Muscles	YS-KSCDXGY-1-M
YS-KSCDXGY-1	P	Skin	YS-KSCDXGY-1-P
YS-KSCDXGY-1	S	Spleen	YS-KSCDXGY-1-S
YS-KSCDXGY-2	B	Brain	YS-KSCDXGY-2-B
YS-KSCDXGY-2	G	Gill	YS-KSCDXGY-2-G
YS-KSCDXGY-2	H	Liver	YS-KSCDXGY-2-H
YS-KSCDXGY-2	I	Intestine	YS-KSCDXGY-2-I
YS-KSCDXGY-2	K	Kidney	YS-KSCDXGY-2-K
YS-KSCDXGY-2	M	Muscles	YS-KSCDXGY-2-M
YS-KSCDXGY-2	P	Skin	YS-KSCDXGY-2-P
YS-KSCDXGY-2	S	Spleen	YS-KSCDXGY-2-S
YS-KSCDXGY-3	B	Brain	YS-KSCDXGY-3-B
YS-KSCDXGY-3	G	Gill	YS-KSCDXGY-3-G
YS-KSCDXGY-3	H	Liver	YS-KSCDXGY-3-H
YS-KSCDXGY-3	I	Intestine	YS-KSCDXGY-3-I
YS-KSCDXGY-3	K	Kidney	YS-KSCDXGY-3-K
YS-KSCDXGY-3	M	Muscles	YS-KSCDXGY-3-M
YS-KSCDXGY-3	P	Skin	YS-KSCDXGY-3-P
